pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
Allemagne;de_gtfsde;;de_gtfsde|47089;340.3;211.5;38;32.3;62.1;74.7;42.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|193254;329.3;175.8;47;18.5;66.9;90.8;72.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|1;513;172.3;66;43.5;87;96.2;52.7;0;0;6;REJETEE;identite non resolue
Pays-Bas;nl_ovapi;Den Haag Centraal;nl_ovapi|denhaagcentraal@52.08,4.32;312;161.8;48;84.7;98.1;99.2;14.5;0.5;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|403247;253.8;161.3;36;32.6;59.5;73.8;41.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 60 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|172045;259.8;157.5;39;12.1;69;95.9;83.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|4;346.2;155.5;55;44.7;86.4;96;51.3;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|281863;261;155.5;40;15.1;69.3;95;79.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|663202;294.5;155.3;47;23.5;73.8;95.5;72;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|624218;258.5;152.5;41;16.6;70.7;94.6;78;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|550752;258.8;151.5;41;12.4;70.1;95.2;82.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|613092;268;147;45;31.5;62.9;77.7;46.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|391411;281.8;144.8;49;52.7;78.8;89.6;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|601297;249;144.8;42;19;70.5;94;75;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|405191;213;139.8;34;35.1;67.3;82.5;47.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|543581;258;138;47;33.3;62.3;77.2;43.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|563389;206;136.3;34;20.6;45.3;62.9;42.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 45 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|96530;241;133.3;45;20.6;70.4;94.2;73.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|579841;245.5;130;47;14;69;94.2;80.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|633156;244;127;48;14.8;68.7;94.5;79.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Rotterdam Blaak;nl_ovapi|rotterdamblaak@51.92,4.49;207.3;125.5;39;56.2;95.2;99;42.8;0.25;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|41174;240.5;110.5;54;56.6;79.2;83.5;26.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|14844;233.8;109.5;53;35.8;60;72.8;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|228723;238.3;109;54;41.1;78.2;93.1;52.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|441278;188;107.8;43;40.1;80.5;96.5;56.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Köln Hbf;de_gtfsde|klnhbf@50.94,6.96;175.8;107.4;39;41.9;72.4;86;44.1;0;0;5;REJETEE;present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|140668;168.5;102.5;39;44.1;69;84.6;40.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|176911;198.3;102;49;48.3;77.9;90.2;41.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|102;148.2;102;31;71.2;97.1;99.8;28.6;1.4;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|279864;139;89.8;35;37.9;60.7;72.7;34.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|297746;180;87.5;51;83.1;94.6;97.7;14.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|377788;143;87;39;44.5;88.5;96.6;52;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|89997;159;86.8;45;49;79;89.3;40.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|650360;125.8;85.8;32;24.2;50.1;67.6;43.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 50 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|277169;143.3;85.5;40;43.3;71.3;81.3;38;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|102022;176.3;83.8;52;54.3;81.5;91;36.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|295122;160.5;83.8;48;43.6;72.8;84.8;41.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|14284;155.3;83;47;46.1;82.2;92.8;46.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|652093;258;81.5;68;79.1;97.5;98.2;19;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|167862;159.3;80.3;50;48.6;79.8;93.1;44.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|2734;121.8;80;34;55.3;84.1;92.2;36.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|452815;158.3;78;51;46.5;83.3;92;45.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|124;217.3;77.7;64;46.4;83.5;94;47.6;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|646114;127.3;75.8;40;30.4;61.7;75.2;44.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|601935;110.3;74.3;33;32;63;78.8;46.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|452638;131.8;74;44;35.8;71.3;81.1;45.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|155845;156.3;73.8;53;44.4;80.7;92.2;47.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|223865;92.5;72;22;75.7;93.4;100;24.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|237;99.8;71.4;28;25.8;88.5;97.5;71.7;0.6;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|562206;96.3;70.3;27;35.2;60.9;77.2;42;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|497869;141.3;69;51;51.1;73.2;87;35.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|64656;95.5;67.8;29;36.9;71.2;82.3;45.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|56;171.2;67.7;60;43.8;86.9;97;53.2;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|587960;107.5;67.5;37;38.5;68.9;85.6;47;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|92917;131.3;65;50;55.4;76.2;87.3;31.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mbta;South Station;us_mbta|southstation@42.35,-71.06;125.3;64.7;48;100;100;100;0;0;0;6;REJETEE;trop parfaite : 100 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|219236;122.3;64.5;47;39.5;79.1;93;53.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|232735;119;64.5;46;91.1;98.8;99.2;8.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|75763;100.8;64.5;36;36.8;67.1;86.4;49.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|65708;131.8;63.8;52;76.9;90.6;96.5;19.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|537557;151.3;63.5;58;52.4;83.1;92.9;40.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|28438;129.8;63;51;45.6;84.1;92.9;47.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|409909;65.8;63;4;96.4;100;100;3.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|397209;135;62.3;54;35.3;61.4;77.9;42.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|234640;127.8;62;51;73;91.1;96.8;23.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|103274;113.8;62;45;52.4;82.7;92.7;40.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|304647;130.5;61.3;53;71.8;89;95.9;24.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Friedewald  Haltepunkt;de_gtfsde|friedewaldhaltepunkt@51.13,13.65;130.3;61.3;53;70.6;89.4;96.7;26.1;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|243001;112;61;46;34;56.1;71.3;37.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 56 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|500691;128.8;59.5;54;71.4;89.1;96.2;24.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|188368;101.8;57.8;43;31.6;66.2;82.7;51.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|425522;87;57.3;34;40.2;78.6;89.5;49.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|208383;130.5;56.8;57;70.5;89;96;25.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|511315;112.5;56.8;50;47.1;73.6;82.8;35.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|179210;90.5;56.8;37;43.2;83.7;97.4;54.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|337719;89;56.8;36;43.6;77.5;90.3;46.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|131;99.5;56.5;43;40.1;80.2;93.2;53.1;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|127741;84;56.3;33;80.4;95.6;97.8;17.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|380397;120.8;56;54;83.9;92;96.4;12.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|124940;95.3;56;41;29.5;56.3;73.2;43.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 56 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|374827;81.5;54.8;33;50.2;79;90;39.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|279400;117;54;54;54.2;81.9;89.8;35.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Rotterdam Lombardijen;nl_ovapi|rotterdamlombardijen@51.88,4.53;166.3;53.8;68;41.4;96.3;98.6;57.2;0.25;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|59420;64.3;53.5;17;98.6;100;100;1.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : 99 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|521238;103.8;53;49;53.3;89.2;94.3;41;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Utrecht Overvecht;nl_ovapi|utrechtovervecht@52.11,5.13;84.3;53;37;73.9;98.1;99.7;25.8;0.5;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|637878;113;52.8;53;60.2;91;96.7;36.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|631165;102.3;52.8;48;55.9;86.3;93.8;37.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|407432;100.5;52.8;48;52.6;87.2;94.8;42.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|214;71;52.6;26;65.4;92;98.5;33.1;0;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|490928;125.3;52.3;58;37.8;68.9;84.7;46.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Rotterdam Zuid;nl_ovapi|rotterdamzuid@51.90,4.51;112;52.3;53;69.9;97.1;98.6;28.7;0.25;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|294154;106;52;51;36.1;69.7;83.7;47.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|256285;123;51.8;58;72;93.7;97.1;25.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|487222;98.5;51.3;48;51.2;84.9;92.7;41.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Barendrecht;nl_ovapi|barendrecht@51.86,4.55;147.3;51;65;71.1;97.5;99;27.9;0.25;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|485206;68.8;51;26;100;100;100;0;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : 100 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|243213;79.8;50.8;36;30;69.5;85.2;55.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|228165;65.3;50.5;23;98.5;100;100;1.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : 99 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|638286;66.8;49.3;26;94.4;100;100;5.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|316827;75.5;48.8;35;67.2;95.9;99.5;32.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|379516;105.3;48.5;54;52.1;72.2;77.3;25.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|539704;133.8;48.3;64;89.1;100;100;10.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|320215;90;48.3;46;40.4;74.1;88.6;48.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|85706;83.5;48;43;43.8;81.8;93.8;50;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|510642;96;47.8;50;40.3;63.4;76.4;36.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|89984;72.8;47.5;35;55.8;87.4;93.2;37.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|565227;134.3;47.3;65;29.1;57.1;77.8;48.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 57 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|24997;83.8;47.3;44;47.1;86.2;92.6;45.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Karlsruhe Kurt-Schumacher-Str.;de_gtfsde|karlsruhekurtschumacherstr@49.03,8.38;73.4;47.2;36;59.3;98.7;99.6;40.3;0;0;5;REJETEE;present 5 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|356625;77;46.8;39;42.8;70.1;80.2;37.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|380418;95.3;46.5;51;60.8;90.3;96.2;35.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|625989;69.5;46.5;33;24.7;68.3;86;61.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|191126;127.5;46;64;81;94.6;97.3;16.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|138191;90.8;46;49;50.5;70.7;81;30.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|376430;75.5;46;39;42.4;78.3;89.7;47.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|492385;72.5;46;37;69;94.6;98.9;29.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Ettlingen Erbprinz / Schloss;de_gtfsde|ettlingenerbprinzschloss@48.94,8.40;69.6;45.6;34;58.3;96.5;97.8;39.5;0;0;5;REJETEE;present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|138020;82.5;45.5;45;37.4;81.3;92.9;55.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|400431;83.3;45.3;46;55.2;85.1;92.3;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|74;145.7;45;69;47.8;87;96.3;48.5;0;0;6;REJETEE;identite non resolue
Etats-Unis;us_mta_mnr;;us_mta_mnr|33;132.2;45;66;42.6;85.6;97.8;55.2;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|237992;98.5;44.8;55;33.5;61.5;78.8;45.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|652909;71.3;44.5;38;64;94.4;99.4;35.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|393998;78.5;44.3;44;41.2;79.1;92.7;51.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|626879;74.8;44;41;27.3;75.6;92.6;65.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|140;125.5;43.8;65;51.3;82.1;93.9;42.6;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|468538;101.5;43.8;57;41.1;66.3;81.7;40.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|309903;75.8;43.8;42;20;71.4;93.1;73.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|138;80.7;43.7;46;49.6;83.2;94.7;45;0;0;6;REJETEE;identite non resolue
Etats-Unis;us_mta_mnr;;us_mta_mnr|116;104.7;43.5;58;46.7;82.4;95;48.3;0;0;6;REJETEE;identite non resolue
Etats-Unis;us_mta_mnr;;us_mta_mnr|27;104.7;43.5;58;44.1;87;97.7;53.6;0;0;6;REJETEE;identite non resolue
Etats-Unis;us_mta_mnr;;us_mta_mnr|31;103.7;43.5;58;42.9;86.2;97.7;54.8;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|99760;82.8;43.5;47;51.7;81.6;90.8;39.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|431746;71.5;43.5;39;73;94.8;99.4;26.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|420797;70.5;43.5;38;37.4;66.7;81;43.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|386530;58.5;43.3;26;28.3;53.8;73.4;45.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 54 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|625189;78.5;42.8;46;45.6;83;93;47.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|504061;71.5;42.8;40;68.4;94.7;98.2;29.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Australie;au_translink_seq;Ormiston station;au_translink_seq|ormistonstation@-27.51,153.26;69.7;42.8;39;60.7;98.4;100;39.3;0;0.33;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|324900;65.8;42.8;35;99.4;100;100;0.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : 99 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|528705;63.3;42.8;32;90.1;100;100;9.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Etats-Unis;us_mta_mnr;;us_mta_mnr|134;76.5;42.7;44;46.5;80.5;92.2;45.7;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|209607;96.3;42.3;56;73.4;91.7;96.4;23.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|422951;83;42.3;49;82.8;90.5;95.9;13;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|314341;75.8;42.3;44;75.1;94.7;98.2;23.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|188;80.7;42.2;48;50.6;83.4;94.5;43.9;0;0;6;REJETEE;identite non resolue
Etats-Unis;us_mta_mnr;;us_mta_mnr|128;75;42.2;44;45.8;79.8;91.7;45.8;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|609315;74.8;42;44;75;96.4;98.2;23.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|601351;59;42;29;22.6;72.6;91.1;68.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|225628;56.8;42;26;24.4;42.9;56.5;32.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 43 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|262130;95.8;41.8;56;76;91.6;96.4;20.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|36447;93.3;41.8;55;73.7;91.6;96.4;22.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Vlissingen;nl_ovapi|vlissingen@51.44,3.60;69.3;41.7;40;84.4;98.4;99.6;15.2;0.5;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|551572;127.5;41.5;67;80.1;95.8;97.6;17.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|481642;78.5;41.5;47;51.2;84.3;95.2;44;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|160951;76;41.5;45;32.5;74.1;95.2;62.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|176510;75;41.5;45;41;72.3;88.6;47.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|492334;87.5;41;53;80.5;96.3;98.8;18.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|632461;85;41;52;75.6;89;94.5;18.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|559150;87.5;40.8;53;36.8;56.4;70.6;33.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 56 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|524194;96.5;40.5;58;26.5;58;85.8;59.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 58 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|545494;72.5;40.5;44;43.2;61.1;73.5;30.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|230198;57.5;40;30;37.5;65.6;81.9;44.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|482229;94.8;39.8;58;80.5;92.5;95.6;15.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|468819;87.8;39.8;55;74.8;94.3;98.1;23.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|207847;57;39.5;31;70.3;93.7;96.2;25.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
