pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
France;fr_sncf;Colmar Saint-Joseph;fr_sncf|UIC87181222;11;2;82;62.5;87.5;87.5;25;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15
France;fr_sncf;Montlouis;fr_sncf|UIC87571273;10.8;2;81;100;100;100;0;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Châtellerault;fr_sncf|UIC87575142;10.3;2;80;62.5;62.5;75;12.5;0.5;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15
France;fr_sncf;La Ferté-Bernard;fr_sncf|UIC87396325;9.8;2;80;90;90;90;0;0.2;0.2;5;REJETEE;present 5 jours sur 6 , volume observe 2.0 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Cahors;fr_sncf|UIC87613000;9.3;2;78;50;50;75;25;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , ponctualite 50 % < 60 %
France;fr_sncf;Saint-Césaire;fr_sncf|UIC87775072;8.5;2;76;87.5;87.5;87.5;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Villeneuve-la-Guyard;fr_sncf|UIC87683102;8;2;75;62.5;87.5;100;37.5;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15
France;fr_sncf;Chorges;fr_sncf|UIC87763425;8;2;75;12.5;62.5;75;62.5;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15
France;fr_sncf;Embrun;fr_sncf|UIC87763466;8;2;75;12.5;62.5;62.5;50;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15
France;fr_sncf;Crêches-sur-Saône;fr_sncf|UIC87725713;7.8;2;74;75;75;75;0;0;0.5;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Mussidan;fr_sncf|UIC87595298;7.4;2;73;70;80;90;20;0.2;0;5;REJETEE;present 5 jours sur 6 , volume observe 2.0 < 15
Etats-Unis;us_mbta;Newburyport;us_mbta|newburyport@42.80,-70.88;6.3;2;68;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , trop parfaite : 100 % a moins de 60 s
Australie;au_translink_seq;Traveston station;au_translink_seq|travestonstation@-26.32,152.78;3.5;2;43;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 2.0 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Lancy-Pont-Rouge;fr_sncf|UIC85161554;29.3;1.8;94;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Beaugency;fr_sncf|UIC87574160;19.3;1.8;91;85.7;85.7;85.7;0;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Mommenheim;fr_sncf|UIC87212142;18.8;1.8;91;85.7;100;100;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Basel SBB;fr_sncf|UIC85000109;18.8;1.8;91;57.1;71.4;100;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Onzain - Chaumont-sur-Loire;fr_sncf|UIC87574319;18.3;1.8;90;85.7;85.7;85.7;0;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;La Baule-Escoublac;fr_sncf|UIC87481754;15.8;1.8;89;42.9;57.1;71.4;28.6;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Ollioules - Sanary-sur-Mer;fr_sncf|UIC87755231;14.6;1.8;88;55.6;77.8;77.8;22.2;0.4;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;La Ciotat-Ceyreste;fr_sncf|UIC87751784;14.6;1.8;88;55.6;88.9;88.9;33.3;0.4;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Joigny;fr_sncf|UIC87683243;14.3;1.8;87;45.5;90.9;100;54.5;0;0.17;6;REJETEE;volume observe 1.8 < 15
France;fr_sncf;Méru;fr_sncf|UIC87313668;14.3;1.8;88;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Bornel - Belle-Église;fr_sncf|UIC87276717;14.3;1.8;88;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Bandol;fr_sncf|UIC87755223;14;1.8;87;55.6;77.8;77.8;22.2;0.4;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Belleville sur Sâone;fr_sncf|UIC87721357;13.8;1.8;87;77.8;88.9;88.9;11.1;0;0.4;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Kogenheim;fr_sncf|UIC87214114;13.8;1.8;87;71.4;100;100;28.6;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Argentan;fr_sncf|UIC87444539;13.8;1.8;87;57.1;71.4;71.4;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Trouville - Deauville;fr_sncf|UIC87444372;13.5;1.8;87;71.4;100;100;28.6;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Dettwiller;fr_sncf|UIC87212183;13.3;1.8;87;85.7;100;100;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Steinbourg;fr_sncf|UIC87212209;13.3;1.8;87;85.7;100;100;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Graffenstaden;fr_sncf|UIC87212241;13;1.8;87;42.9;100;100;57.1;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
