pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Allemagne;de_gtfsde;;de_gtfsde|32630;8.8;35;45.7;77.1;48.6;A_QUALIFIER;
France;fr_sncf;Montauban Ville Bourbon;fr_sncf|UIC87611244;3.2;19;31.6;52.6;36.8;A_QUALIFIER;
France;fr_sncf;Agen;fr_sncf|UIC87586008;3;18;44.4;61.1;22.2;A_QUALIFIER;
Etats-Unis;us_mbta;Grafton;us_mbta|grafton@42.25,-71.69;7;42;100;100;0;EXCLUE;source rejetee en bloc
France;fr_sncf;Châteauroux;fr_sncf|UIC87597005;2.4;12;50;75;25;A_QUALIFIER;
France;fr_sncf;Cornil;fr_sncf|UIC87594481;2.6;13;53.8;61.5;15.4;A_QUALIFIER;
France;fr_sncf;Aubazines - Saint-Hilaire;fr_sncf|UIC87594465;2.2;11;54.5;63.6;18.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|509138;9;36;8.3;52.8;77.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|4308;6.5;26;19.2;61.5;69.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|638132;7.8;31;51.6;90.3;45.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|582235;10;40;77.5;100;22.5;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Château-Thierry;fr_sncf|UIC87116582;2.3;9;55.6;66.7;44.4;A_QUALIFIER;
France;fr_sncf;Nogent-sur-Seine;fr_sncf|UIC87118190;1.5;6;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Offenburg;fr_sncf|UIC80143099;3.8;15;60;86.7;33.3;A_QUALIFIER;
France;fr_sncf;Charmes;fr_sncf|UIC87144055;2;8;50;50;25;A_QUALIFIER;
France;fr_sncf;Boulogne sur Mer;fr_sncf|UIC87317586;3.5;14;57.1;78.6;21.4;A_QUALIFIER;
Etats-Unis;us_mbta;Forest Hills;us_mbta|foresthills@42.30,-71.11;8.8;35;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mta_lirr;;us_mta_lirr|219;10;40;50;100;50;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mta_lirr;;us_mta_lirr|142;10;40;20;95;80;A_QUALIFIER;
