pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Pays-Bas;nl_ovapi;Schiphol Airport;nl_ovapi|schipholairport@52.31,4.76;419.8;2519;73.5;96;25;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Centraal;nl_ovapi|amsterdamcentraal@52.38,4.90;395.8;2375;62.4;93.1;34.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Utrecht Centraal;nl_ovapi|utrechtcentraal@52.09,5.11;390.5;2343;77.3;94.8;20.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rotterdam Centraal;nl_ovapi|rotterdamcentraal@51.92,4.47;269.7;1618;71.3;94.1;26.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|1;172.3;1034;43.5;87;52.7;A_QUALIFIER;
Australie;au_translink_seq;Central station;au_translink_seq|centralstation@-27.47,153.03;227.7;1366;66.4;94.6;32.3;A_QUALIFIER;
Australie;au_translink_seq;Roma Street station;au_translink_seq|romastreetstation@-27.47,153.02;216.2;1297;55.5;93.6;42.9;A_QUALIFIER;
Australie;au_translink_seq;Bowen Hills station;au_translink_seq|bowenhillsstation@-27.45,153.04;221.8;1331;54;94.2;44.6;A_QUALIFIER;
Australie;au_translink_seq;Fortitude Valley station;au_translink_seq|fortitudevalleystation@-27.46,153.03;218.2;1309;44.8;93.2;53.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Sloterdijk;nl_ovapi|amsterdamsloterdijk@52.39,4.84;304.7;1828;48.1;95.4;50.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|4;155.5;933;44.7;86.4;51.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Arnhem Centraal;nl_ovapi|arnhemcentraal@51.99,5.90;220.8;1325;69.7;93.3;26.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|47089;211.5;846;32.3;62.1;42.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Leiden Centraal;nl_ovapi|leidencentraal@52.17,4.48;242.8;1457;75.4;95.5;22.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|193254;175.8;703;18.5;66.9;72.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Nijmegen;nl_ovapi|nijmegen@51.84,5.85;164.3;986;70.6;94.8;28.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag Centraal;nl_ovapi|denhaagcentraal@52.08,4.32;161.8;971;84.7;98.1;14.5;EXCLUE;ponctualite 98.1 %
Australie;au_translink_seq;Eagle Junction station;au_translink_seq|eaglejunctionstation@-27.41,153.05;158.2;949;40.7;93.8;58.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;'s-Hertogenbosch;nl_ovapi|shertogenbosch@51.69,5.29;232;1392;57.3;95;41;A_QUALIFIER;
Pays-Bas;nl_ovapi;Dordrecht;nl_ovapi|dordrecht@51.81,4.67;143.3;860;73.3;95.1;25.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|663202;155.3;621;23.5;73.8;72;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|391411;144.8;579;52.7;78.8;37;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Zuid;nl_ovapi|amsterdamzuid@52.34,4.87;219;1314;74.4;96.5;24.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|613092;147;588;31.5;62.9;46.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag HS;nl_ovapi|denhaaghs@52.07,4.32;175.5;1053;74.7;95;23.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|281863;155.5;622;15.1;69.3;79.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|172045;157.5;630;12.1;69;83.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|550752;151.5;606;12.4;70.1;82.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|624218;152.5;610;16.6;70.7;78;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|652093;81.5;326;79.1;97.5;19;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|543581;138;552;33.3;62.3;43.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Schiedam Centrum;nl_ovapi|schiedamcentrum@51.92,4.41;145.3;872;65.6;95.2;32.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amersfoort Centraal;nl_ovapi|amersfoortcentraal@52.15,5.37;172.5;1035;70.1;94.7;27.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|403247;161.3;645;32.6;59.5;41.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Delft;nl_ovapi|delft@52.01,4.36;166.7;1000;71.1;95.3;27.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zwolle;nl_ovapi|zwolle@52.51,6.09;155;930;70.1;93.5;27.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|601297;144.8;579;19;70.5;75;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|225778;35.8;143;81.1;95.8;14.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|579841;130;520;14;69;80.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|633156;127;508;14.8;68.7;79.7;A_QUALIFIER;
Australie;au_translink_seq;Northgate station;au_translink_seq|northgatestation@-27.39,153.07;127.3;764;55.9;94.8;42.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|96530;133.3;533;20.6;70.4;73.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|41174;110.5;442;56.6;79.2;26.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|228723;109;436;41.1;78.2;52.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Breda;nl_ovapi|breda@51.60,4.78;155.3;932;69.6;96.2;29.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Eindhoven Centraal;nl_ovapi|eindhovencentraal@51.44,5.48;166.5;999;70.2;95.5;28.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|14844;109.5;438;35.8;60;37;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag Laan v NOI;nl_ovapi|denhaaglaanvnoi@52.08,4.34;149.2;895;69.7;95.9;28.3;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|124;77.7;466;46.4;83.5;47.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Tilburg;nl_ovapi|tilburg@51.56,5.08;144;864;71.8;95.7;26.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|405191;139.8;559;35.1;67.3;47.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rotterdam Blaak;nl_ovapi|rotterdamblaak@51.92,4.49;125.5;502;56.2;95.2;42.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|563389;136.3;545;20.6;45.3;42.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Haarlem;nl_ovapi|haarlem@52.39,4.64;125.3;752;78.5;95.5;19.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Almere Centrum;nl_ovapi|almerecentrum@52.38,5.22;72;432;72.7;94.9;25.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|176911;102;408;48.3;77.9;41.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Hoofddorp;nl_ovapi|hoofddorp@52.29,4.70;123.5;741;64.6;94.3;33.6;A_QUALIFIER;
Australie;au_translink_seq;South Bank station;au_translink_seq|southbankstation@-27.48,153.02;104.3;626;44.1;89.9;52.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Hilversum;nl_ovapi|hilversum@52.23,5.18;134.5;807;75.5;95;21.8;A_QUALIFIER;
Australie;au_translink_seq;Boggo Road station;au_translink_seq|boggoroadstation@-27.49,153.03;109.7;658;47.4;91;49.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|441278;107.8;431;40.1;80.5;56.4;A_QUALIFIER;
Australie;au_translink_seq;South Brisbane station;au_translink_seq|southbrisbanestation@-27.47,153.02;104.7;628;48.9;90.9;48.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Gouda;nl_ovapi|gouda@52.02,4.71;113.3;680;76.3;96.3;21.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|297746;87.5;350;83.1;94.6;14.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|102022;83.8;335;54.3;81.5;36.7;A_QUALIFIER;
Allemagne;de_gtfsde;Köln Hbf;de_gtfsde|klnhbf@50.94,6.96;107.4;537;41.9;72.4;44.1;A_QUALIFIER;
France;fr_sncf;Lyon Part Dieu;fr_sncf|UIC87723197;41.5;249;59;76.7;24.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Deventer;nl_ovapi|deventer@52.26,6.16;104.5;627;59;93.1;38.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|56;67.7;406;43.8;86.9;53.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|140668;102.5;410;44.1;69;40.5;A_QUALIFIER;
Australie;au_translink_seq;Wooloowin station;au_translink_seq|wooloowinstation@-27.42,153.04;82.5;495;37.6;92.3;61.6;A_QUALIFIER;
Australie;au_translink_seq;Albion station;au_translink_seq|albionstation@-27.43,153.04;85;510;37.8;93.3;61.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rotterdam Lombardijen;nl_ovapi|rotterdamlombardijen@51.88,4.53;53.8;215;41.4;96.3;57.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Bijlmer ArenA;nl_ovapi|amsterdambijlmerarena@52.31,4.95;138.3;830;68.2;95.1;30.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|295122;83.8;335;43.6;72.8;41.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|167862;80.3;321;48.6;79.8;44.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Duivendrecht;nl_ovapi|duivendrecht@52.32,4.94;125.8;755;55.6;95.6;42.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|89997;86.8;347;49;79;40.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|452815;78;312;46.5;83.3;45.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Oss;nl_ovapi|oss@51.77,5.53;106.3;638;58.6;95.9;39.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|155845;73.8;295;44.4;80.7;47.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Roosendaal;nl_ovapi|roosendaal@51.54,4.46;103.8;623;64.4;96.5;33.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|14284;83;332;46.1;82.2;46.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zwijndrecht;nl_ovapi|zwijndrecht@51.82,4.64;57.7;346;67.3;97.1;32.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|537557;63.5;254;52.4;83.1;40.6;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|102;102;510;71.2;97.1;28.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Barendrecht;nl_ovapi|barendrecht@51.86,4.55;51;204;71.1;97.5;27.9;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|74;45;270;47.8;87;48.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|277169;85.5;342;43.3;71.3;38;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|377788;87;348;44.5;88.5;52;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|497869;69;276;51.1;73.2;35.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Amstel;nl_ovapi|amsterdamamstel@52.35,4.92;124;744;55.6;94.5;42.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|338161;15.5;62;75.8;88.7;22.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|279864;89.8;359;37.9;60.7;34.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|76;38.3;230;48.3;88.7;48.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zaandam;nl_ovapi|zaandam@52.44,4.81;111.7;670;60.3;96.1;38.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|133500;15.8;63;81;92.1;19;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|397209;62.3;249;35.3;61.4;42.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|565227;47.3;189;29.1;57.1;48.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Ede-Wageningen;nl_ovapi|edewageningen@52.03,5.67;95.7;574;57.5;97.9;41.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|539704;48.3;193;89.1;100;10.9;EXCLUE;aucun retard superieur a 5 min
Etats-Unis;us_mta_mnr;;us_mta_mnr|33;45;270;42.6;85.6;55.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|65708;63.8;255;76.9;90.6;19.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|452638;74;296;35.8;71.3;45.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|92917;65;260;55.4;76.2;31.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Weesp;nl_ovapi|weesp@52.31,5.04;84.3;506;81.6;95.8;16.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|304647;61.3;245;71.8;89;24.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|208383;56.8;227;70.5;89;25.6;A_QUALIFIER;
Allemagne;de_gtfsde;Friedewald  Haltepunkt;de_gtfsde|friedewaldhaltepunkt@51.13,13.65;61.3;245;70.6;89.4;26.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Groningen;nl_ovapi|groningen@53.21,6.56;77.2;463;83.8;95.7;14.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|640296;18.3;73;80.8;100;19.2;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|28438;63;252;45.6;84.1;47.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|598131;37;148;85.8;98.6;12.8;EXCLUE;ponctualite 98.6 %
Allemagne;de_gtfsde;;de_gtfsde|404734;30.3;121;87.6;98.3;10.7;EXCLUE;ponctualite 98.3 %
Allemagne;de_gtfsde;;de_gtfsde|500691;59.5;238;71.4;89.1;24.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Elst;nl_ovapi|elst@51.92,5.85;61.2;367;60.2;94;38.7;A_QUALIFIER;
Australie;au_translink_seq;Petrie station;au_translink_seq|petriestation@-27.27,152.98;74.5;447;58.4;94.9;40.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|234640;62;248;73;91.1;23.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|551572;41.5;166;80.1;95.8;17.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|191126;46;184;81;94.6;16.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|646114;75.8;303;30.4;61.7;44.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zutphen;nl_ovapi|zutphen@52.14,6.19;85.8;515;61.6;95.9;37.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|650360;85.8;343;24.2;50.1;43.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|140;43.8;263;51.3;82.1;42.6;A_QUALIFIER;
Etats-Unis;us_mbta;South Station;us_mbta|southstation@42.35,-71.06;64.7;388;100;100;0;EXCLUE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Allemagne;de_gtfsde;;de_gtfsde|490928;52.3;209;37.8;68.9;46.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|256285;51.8;207;72;93.7;25.1;A_QUALIFIER;
Australie;au_translink_seq;Corinda station;au_translink_seq|corindastation@-27.54,152.98;63.7;382;60.5;95.3;38.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|219236;64.5;258;39.5;79.1;53.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Muiderpoort;nl_ovapi|amsterdammuiderpoort@52.36,4.93;95;570;58.2;95.6;39.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|2734;80;320;55.3;84.1;36.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|380397;56;224;83.9;92;12.5;A_QUALIFIER;
Australie;au_translink_seq;Milton station;au_translink_seq|miltonstation@-27.47,153.01;62.7;376;66.8;95.7;32.4;A_QUALIFIER;
France;fr_sncf;Strasbourg;fr_sncf|UIC87212027;21.8;131;77.1;88.5;16;A_QUALIFIER;
France;fr_sncf;Paris Montparnasse Hall 1 - 2;fr_sncf|UIC87391003;30;180;87.2;92.8;8.3;A_QUALIFIER;
Australie;au_translink_seq;Indooroopilly station;au_translink_seq|indooroopillystation@-27.50,152.98;64;384;66.4;96.1;32.8;A_QUALIFIER;
Australie;au_translink_seq;Taringa station;au_translink_seq|taringastation@-27.49,152.98;64;384;59.1;96.9;40.4;A_QUALIFIER;
Australie;au_translink_seq;Oxley station;au_translink_seq|oxleystation@-27.55,152.97;64.5;387;56.3;95.9;42.9;A_QUALIFIER;
Australie;au_translink_seq;Auchenflower station;au_translink_seq|auchenflowerstation@-27.48,153.00;65;390;63.6;95.6;35.6;A_QUALIFIER;
Australie;au_translink_seq;Graceville station;au_translink_seq|gracevillestation@-27.52,152.98;59.8;359;65.7;96.1;33.4;A_QUALIFIER;
Australie;au_translink_seq;Toowong station;au_translink_seq|toowongstation@-27.49,152.99;65.7;394;64.7;96.2;34.5;A_QUALIFIER;
Australie;au_translink_seq;Chelmer station;au_translink_seq|chelmerstation@-27.51,152.97;62.5;375;69.9;96.3;29.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Lelystad Centrum;nl_ovapi|lelystadcentrum@52.51,5.47;20.8;125;78.4;95.2;20.8;A_QUALIFIER;
Australie;au_translink_seq;Darra station;au_translink_seq|darrastation@-27.57,152.95;62.7;376;73.9;96;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|232735;64.5;258;91.1;98.8;8.1;EXCLUE;ponctualite 98.8 %
Australie;au_translink_seq;Beenleigh station;au_translink_seq|beenleighstation@-27.72,153.20;58.5;351;75.2;92.9;23.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|279400;54;216;54.2;81.9;35.6;A_QUALIFIER;
Australie;au_translink_seq;Altandi station;au_translink_seq|altandistation@-27.58,153.06;55.3;332;53;89.8;45.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Heemstede-Aerdenhout;nl_ovapi|heemstedeaerdenhout@52.36,4.61;78.8;473;74;94.7;22.6;A_QUALIFIER;
Australie;au_translink_seq;Sherwood station;au_translink_seq|sherwoodstation@-27.53,152.98;59;354;65.8;96.9;33.9;A_QUALIFIER;
France;fr_sncf;Paris Gare de Lyon Hall 1 - 2;fr_sncf|UIC87686006;35;210;73.3;84.8;14.3;A_QUALIFIER;
Australie;au_translink_seq;Loganlea station;au_translink_seq|loganleastation@-27.67,153.14;63.8;383;36;90.1;62.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|103274;62;248;52.4;82.7;40.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|637878;52.8;211;60.2;91;36.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|511315;56.8;227;47.1;73.6;35.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|243001;61;244;34;56.1;37.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rotterdam Zuid;nl_ovapi|rotterdamzuid@51.90,4.51;52.3;209;69.9;97.1;28.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|601935;74.3;297;32;63;46.8;A_QUALIFIER;
Allemagne;de_gtfsde;S Grünau (Berlin);de_gtfsde|sgrnauberlin@52.41,13.57;48.5;291;74.9;91.1;21;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|587960;67.5;270;38.5;68.9;47;A_QUALIFIER;
Pays-Bas;nl_ovapi;Alkmaar;nl_ovapi|alkmaar@52.64,4.74;78.8;473;75.9;96.4;22.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|294154;52;208;36.1;69.7;47.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|379516;48.5;194;52.1;72.2;25.3;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|116;43.5;261;46.7;82.4;48.3;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|27;43.5;261;44.1;87;53.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|521238;53;212;53.3;89.2;41;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|31;43.5;261;42.9;86.2;54.8;A_QUALIFIER;
Australie;au_translink_seq;Toombul station;au_translink_seq|toombulstation@-27.41,153.06;51.8;311;58.8;94.2;40.5;A_QUALIFIER;
Australie;au_translink_seq;Nundah station;au_translink_seq|nundahstation@-27.40,153.06;47.3;284;56.7;94.7;43;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|631165;52.8;211;55.9;86.3;37.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|188368;57.8;231;31.6;66.2;51.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|468538;43.8;175;41.1;66.3;40.6;A_QUALIFIER;
France;fr_sncf;Bordeaux Saint-Jean;fr_sncf|UIC87581009;24.8;149;60.4;80.5;28.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|75763;64.5;258;36.8;67.1;49.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|407432;52.8;211;52.6;87.2;42.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|18912;33.5;134;64.9;83.6;27.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag Moerwijk;nl_ovapi|denhaagmoerwijk@52.05,4.31;57.2;343;76.7;97.7;22.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rijswijk;nl_ovapi|rijswijk@52.04,4.32;51.8;311;73.3;97.7;25.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Delft Campus;nl_ovapi|delftcampus@51.99,4.36;53.5;321;68.8;97.2;29.9;A_QUALIFIER;
Australie;au_translink_seq;Ipswich station;au_translink_seq|ipswichstation@-27.61,152.76;38.5;231;82.3;97;16.5;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|237;71.4;357;25.8;88.5;71.7;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|131;56.5;339;40.1;80.2;53.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|385091;25.8;103;68;88.3;28.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|237992;44.8;179;33.5;61.5;45.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|487222;51.3;205;51.2;84.9;41.5;A_QUALIFIER;
Australie;au_translink_seq;Thorneside station;au_translink_seq|thornesidestation@-27.49,153.19;45.8;275;74.9;95.6;24.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|246350;27;108;74.1;89.8;21.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|430815;24.3;97;82.5;93.8;15.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|218706;29.3;117;87.2;96.6;12;A_QUALIFIER;
Pays-Bas;nl_ovapi;Castricum;nl_ovapi|castricum@52.55,4.66;80.2;481;52.4;95.2;45.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|524194;40.5;162;26.5;58;59.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|562206;70.3;281;35.2;60.9;42;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|209607;42.3;169;73.4;91.7;23.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|510642;47.8;191;40.3;63.4;36.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Apeldoorn;nl_ovapi|apeldoorn@52.21,5.97;59.5;357;68.1;93;30;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|536319;35;140;70.7;91.4;25.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|262130;41.8;167;76;91.6;20.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|64656;67.8;271;36.9;71.2;45.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|339731;27.5;110;86.4;95.5;12.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|102238;34.5;138;76.1;92;21;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|124940;56;224;29.5;56.3;43.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|380418;46.5;186;60.8;90.3;35.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|28403;32;128;80.5;91.4;15.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|482229;39.8;159;80.5;92.5;15.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|515937;29.3;117;76.9;89.7;19.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|635189;23.5;94;74.5;91.5;21.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|173447;26;104;76.9;91.3;18.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|178117;25.3;101;78.2;91.1;14.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|169336;34;136;65.4;87.5;30.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|159459;35;140;58.6;91.4;37.9;A_QUALIFIER;
France;fr_sncf;Marseille Saint-Charles;fr_sncf|UIC87751008;24.8;149;70.5;75.8;16.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|519080;33.5;134;39.6;72.4;47.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|386797;34.3;137;59.1;86.1;35;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|36447;41.8;167;73.7;91.6;22.8;A_QUALIFIER;
Australie;au_translink_seq;Wellington Point station;au_translink_seq|wellingtonpointstation@-27.49,153.24;46.8;281;62.6;97.5;37.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|69147;18;72;68.1;91.7;31.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Dieren;nl_ovapi|dieren@52.04,6.10;72;432;42.4;92.6;56;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|223865;72;288;75.7;93.4;24.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Woerden;nl_ovapi|woerden@52.09,4.89;71.3;428;77.6;96.3;20.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|8972;30.8;123;58.5;83.7;30.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|220979;31.3;125;41.6;82.4;50.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|138191;46;184;50.5;70.7;30.4;A_QUALIFIER;
