pays;reseau;gare;nom;N;ponctualite;fraicheur;distincts;annulesJour;jours;statut;K;verdict;motif
Allemagne;de_gtfsde;sostkreuzbhfberlin@52.50,13.47;sostkreuzbhfberlin;1594.9;96.4;98.5;242;0;7;superstar;426;RETENUE;
Allemagne;de_gtfsde;sufriedrichstrbhfberlin@52.52,13.39;sufriedrichstrbhfberlin;1304.1;96.8;99.1;158;0;7;superstar;348;RETENUE;
Allemagne;de_gtfsde;suberlinhauptbahnhof@52.53,13.37;suberlinhauptbahnhof;1240.3;92.8;97.3;203;0;7;superstar;331;RETENUE;
Allemagne;de_gtfsde;ssdkreuzbhfberlin@52.48,13.37;ssdkreuzbhfberlin;1212.1;94.4;98.6;200;0;7;superstar;324;RETENUE;
Pays-Bas;nl_ovapi;utrechtcentraal@52.09,5.11;utrechtcentraal;1143.7;94.6;99.1;586;0;7;superstar;305;RETENUE;
Allemagne;de_gtfsde;swestkreuzberlin@52.50,13.28;swestkreuzberlin;1093.9;95.6;99.3;203;0;7;superstar;292;RETENUE;
Allemagne;de_gtfsde;donnersbergerbrcke@48.14,11.54;donnersbergerbrcke;1051.1;82.3;95.7;42;0;7;superstar;281;RETENUE;
Pays-Bas;nl_ovapi;amsterdamcentraal@52.38,4.90;amsterdamcentraal;1014.6;92.1;99.1;666;0;7;superstar;271;RETENUE;
Allemagne;de_gtfsde;dsseldorfhbf@51.22,6.79;dsseldorfhbf;1013.9;69.3;96.3;260;0;7;superstar;271;RETENUE;
Allemagne;de_gtfsde;suwarschauerstrberlin@52.51,13.45;suwarschauerstrberlin;1001.1;96.9;99;148;0;7;superstar;267;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhauptbahnhof@50.11,8.66;frankfurtmainhauptbahnhof;913.3;75.6;96.1;112;0;7;superstar;244;RETENUE;
Allemagne;de_gtfsde;supotsdamerplatzbhfberlin@52.51,13.38;supotsdamerplatzbhfberlin;911.1;95.5;98.7;122;0;7;superstar;243;RETENUE;
Allemagne;de_gtfsde;sugesundbrunnenbhfberlin@52.55,13.39;sugesundbrunnenbhfberlin;900;94.4;96;175;0;7;superstar;240;RETENUE;
Allemagne;de_gtfsde;hauptbahnhofoben@48.78,9.18;hauptbahnhofoben;868.4;86;96.1;80;0;7;superstar;232;RETENUE;
Pays-Bas;nl_ovapi;amsterdamsloterdijk@52.39,4.84;amsterdamsloterdijk;866.9;93.8;98.7;576;0;7;superstar;232;RETENUE;
Allemagne;de_gtfsde;scharlottenburgbhfberlin@52.50,13.30;scharlottenburgbhfberlin;857.1;95.2;98;136;0;7;superstar;229;RETENUE;
Allemagne;de_gtfsde;rosenheimerplatz@48.13,11.59;rosenheimerplatz;848.1;81.5;97.2;37;0;7;superstar;227;RETENUE;
Norvege;no_entur;oslos@59.91,10.75;oslos;838.3;86.6;97.8;802;0;7;superstar;224;RETENUE;
Allemagne;de_gtfsde;sostbahnhofberlin@52.51,13.44;sostbahnhofberlin;838;95.7;98.6;193;0;7;superstar;224;RETENUE;
Allemagne;de_gtfsde;hackerbrcke@48.14,11.55;hackerbrcke;830.3;79.4;97;37;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;klnhbf@50.94,6.96;klnhbf;829.6;69.1;94.1;221;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;isartor@48.13,11.58;isartor;829;81.4;97.1;36;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;hirschgarten@48.14,11.52;hirschgarten;808.7;81;96.6;35;0;7;superstar;216;RETENUE;
Allemagne;de_gtfsde;ostbahnhof@48.13,11.60;ostbahnhof;801.7;79.4;95;56;0;7;superstar;214;RETENUE;
Allemagne;de_gtfsde;karlsplatzstachus@48.14,11.57;karlsplatzstachus;799.9;80.7;96;34;0;7;superstar;214;RETENUE;
Allemagne;de_gtfsde;sulichtenbergbhfberlin@52.51,13.50;sulichtenbergbhfberlin;789.9;95.7;97.7;184;0;7;superstar;211;RETENUE;
Allemagne;de_gtfsde;hamburghbfkirchenallee@53.55,10.01;hamburghbfkirchenallee;764.6;94.8;86.5;41;0;7;superstar;204;RETENUE;
Allemagne;de_gtfsde;klnmessedeutzbf@50.94,6.97;klnmessedeutzbf;764.4;73.5;94.7;269;0;7;superstar;204;RETENUE;
Allemagne;de_gtfsde;nrnberghbf@49.45,11.08;nrnberghbf;751.3;82.6;96.8;107;0;7;superstar;201;RETENUE;
Pays-Bas;nl_ovapi;schipholairport@52.31,4.76;schipholairport;741.7;92.2;98.2;594;0;7;superstar;198;RETENUE;
Pays-Bas;nl_ovapi;rotterdamcentraal@51.92,4.47;rotterdamcentraal;738.4;93.2;99.2;520;0;7;superstar;197;RETENUE;
Allemagne;de_gtfsde;mnchenhbf@48.14,11.56;mnchenhbf;725.7;81.4;97.2;102;0;7;superstar;194;RETENUE;
Allemagne;de_gtfsde;sschneweidebhfberlin@52.45,13.51;sschneweidebhfberlin;712;97.2;97.8;101;0;7;superstar;190;RETENUE;
Allemagne;de_gtfsde;sujannowitzbrckeberlin@52.52,13.42;sujannowitzbrckeberlin;710.7;95.4;98.3;116;0;7;superstar;190;RETENUE;
Allemagne;de_gtfsde;laim@48.14,11.50;laim;707.4;79.1;95.6;35;0;7;superstar;189;RETENUE;
Allemagne;de_gtfsde;shackeschermarktberlin@52.52,13.40;shackeschermarktberlin;703.3;95.1;99.1;112;0;7;superstar;188;RETENUE;
Allemagne;de_gtfsde;sualexanderplatzbhfberlin@52.52,13.41;sualexanderplatzbhfberlin;702.7;95.2;99.3;154;0;7;superstar;188;RETENUE;
Allemagne;de_gtfsde;sbellevueberlin@52.52,13.35;sbellevueberlin;698.6;95.7;98.8;146;0;7;superstar;187;RETENUE;
Allemagne;de_gtfsde;stiergartenberlin@52.51,13.34;stiergartenberlin;694.3;95.8;98.8;149;0;7;superstar;186;RETENUE;
Allemagne;de_gtfsde;hamburglandungsbrcken@53.55,9.97;hamburglandungsbrcken;694;93.5;99.8;39;0;7;superstar;186;RETENUE;
Allemagne;de_gtfsde;suzoologischergartenbhfberlin@52.51,13.33;suzoologischergartenbhfberlin;689.1;95.4;98.9;102;0;7;superstar;184;RETENUE;
Allemagne;de_gtfsde;hamburgreeperbahn@53.55,9.96;hamburgreeperbahn;684.6;93.3;99.8;39;0;7;superstar;183;RETENUE;
Allemagne;de_gtfsde;essenhbf@51.45,7.01;essenhbf;681.9;69.8;97;187;0;7;superstar;182;RETENUE;
Allemagne;de_gtfsde;hamburgstadthausbrcke@53.55,9.98;hamburgstadthausbrcke;677.9;93.6;99.7;40;0;7;superstar;181;RETENUE;
Etats-Unis;us_mta_lirr;jamaica@40.70,-73.81;jamaica;670.7;96;95.7;642;0.29;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;hamburgjungfernstieg@53.55,9.99;hamburgjungfernstieg;669;93.4;99.6;38;0;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;hamburgknigstrae@53.55,9.94;hamburgknigstrae;668;93.5;99.7;36;0;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;frankfurtmaintaunusanlage@50.11,8.67;frankfurtmaintaunusanlage;661.7;80.5;97.7;48;0;7;superstar;177;RETENUE;
Allemagne;de_gtfsde;frankfurtmainostendstrae@50.11,8.70;frankfurtmainostendstrae;659;80.1;97.8;45;0;7;superstar;176;RETENUE;
Allemagne;de_gtfsde;frankfurtmainkonstablerwache@50.11,8.69;frankfurtmainkonstablerwache;656.9;80.2;97.9;46;0;7;superstar;176;RETENUE;
Allemagne;de_gtfsde;streptowerparkberlin@52.49,13.46;streptowerparkberlin;654.1;97.6;99.2;118;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;sfriedrichsfeldeostberlin@52.51,13.52;sfriedrichsfeldeostberlin;654;95.7;98.7;129;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;snldnerplatzberlin@52.50,13.48;snldnerplatzberlin;653.9;96.4;98.7;119;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;marienplatz@48.14,11.58;marienplatz;650.4;80.8;95.7;35;0;7;superstar;174;RETENUE;
Allemagne;de_gtfsde;dortmundhbf@51.52,7.46;dortmundhbf;638.9;71;97;276;0;7;superstar;171;RETENUE;
Allemagne;de_gtfsde;hauptbahnhofutram@48.14,11.56;hauptbahnhofutram;638.6;79.2;95.9;37;0;7;superstar;171;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhauptbahnhoftief@50.11,8.66;frankfurtmainhauptbahnhoftief;637.1;80.2;96.2;48;0;7;superstar;170;RETENUE;
Allemagne;de_gtfsde;hamburghamburgharburg@53.46,9.99;hamburghamburgharburg;623.3;83.2;97.5;84;0;7;superstar;167;RETENUE;
Allemagne;de_gtfsde;sschnebergberlin@52.48,13.35;sschnebergberlin;614.1;97.5;98.3;98;0;7;superstar;164;RETENUE;
Allemagne;de_gtfsde;karlsruhehauptbahnhof@48.99,8.40;karlsruhehauptbahnhof;610.3;83.3;97.2;268;0;7;superstar;163;RETENUE;
Norvege;no_entur;nationaltheatretstasjon@59.92,10.73;nationaltheatretstasjon;607.6;80.4;100;755;0;7;superstar;163;RETENUE;
Norvege;no_entur;skyenstasjon@59.92,10.68;skyenstasjon;602;79.1;100;806;0;7;superstar;161;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhauptwache@50.11,8.68;frankfurtmainhauptwache;595.3;81.3;96;48;0;7;superstar;159;RETENUE;
Norvege;no_entur;lysakerstasjon@59.91,10.64;lysakerstasjon;594.6;81.1;99.7;823;0;7;superstar;159;RETENUE;
Allemagne;de_gtfsde;duisburghbf@51.43,6.77;duisburghbf;587.9;58.9;97;215;0;7;superstar;157;RETENUE;
Allemagne;de_gtfsde;leuchtenbergring@48.13,11.62;leuchtenbergring;587.4;83.1;97.6;31;0;7;superstar;157;RETENUE;
Pays-Bas;nl_ovapi;leidencentraal@52.17,4.48;leidencentraal;566.6;95.9;98.9;367;0;7;superstar;152;RETENUE;
Allemagne;de_gtfsde;sbeusselstrberlin@52.53,13.33;sbeusselstrberlin;564.3;96.3;98.3;98;0;7;superstar;151;RETENUE;
Allemagne;de_gtfsde;hannoverhauptbahnhof@52.38,9.74;hannoverhauptbahnhof;561.9;80.8;96.5;87;0;7;superstar;150;RETENUE;
Allemagne;de_gtfsde;sgreifswalderstrberlin@52.54,13.44;sgreifswalderstrberlin;555.6;96.6;99;78;0;7;superstar;149;RETENUE;
Allemagne;de_gtfsde;suweddingberlin@52.54,13.37;suweddingberlin;552.6;97.4;98.4;58;0;7;superstar;148;RETENUE;
Allemagne;de_gtfsde;sprenzlaueralleeberlin@52.54,13.43;sprenzlaueralleeberlin;552.3;97.1;99.1;65;0;7;superstar;148;RETENUE;
Allemagne;de_gtfsde;pasing@48.15,11.46;pasing;552.1;81.5;96;65;0;7;superstar;148;RETENUE;
Allemagne;de_gtfsde;frankfurtmainsdbahnhof@50.10,8.69;frankfurtmainsdbahnhof;546.6;80.9;97.5;61;0;7;superstar;146;RETENUE;
Allemagne;de_gtfsde;slandsbergeralleeberlin@52.53,13.46;slandsbergeralleeberlin;538.1;96.6;99;98;0;7;superstar;144;RETENUE;
Allemagne;de_gtfsde;sstorkowerstrberlin@52.52,13.46;sstorkowerstrberlin;537;96.9;99.1;78;0;7;superstar;144;RETENUE;
Allemagne;de_gtfsde;sufrankfurteralleeberlin@52.51,13.48;sufrankfurteralleeberlin;535.6;97.1;98.4;94;0;7;superstar;143;RETENUE;
Allemagne;de_gtfsde;suschnhauseralleeberlin@52.55,13.42;suschnhauseralleeberlin;535.3;96.9;99;78;0;7;superstar;143;RETENUE;
Allemagne;de_gtfsde;mannheimhauptbahnhof@49.48,8.47;mannheimhauptbahnhof;518.3;78.4;97.3;111;0;7;superstar;139;RETENUE;
Pays-Bas;nl_ovapi;arnhemcentraal@51.99,5.90;arnhemcentraal;513.1;92.2;99.1;473;0;7;superstar;137;RETENUE;
France;fr_sncf;UIC87212027;Strasbourg;512.1;94.6;100;24;1.71;7;superstar;137;RETENUE;
Allemagne;de_gtfsde;ssavignyplatzberlin@52.51,13.32;ssavignyplatzberlin;511.6;96.7;95.6;64;0;7;superstar;137;RETENUE;
Allemagne;de_gtfsde;swannseebhfberlin@52.42,13.18;swannseebhfberlin;511;95.7;96.3;109;0;7;superstar;137;RETENUE;
Allemagne;de_gtfsde;sbornholmerstrberlin@52.55,13.40;sbornholmerstrberlin;508;97.7;99.2;60;0;7;superstar;136;RETENUE;
Australie;au_translink_seq;fortitudevalleystation@-27.46,153.03;fortitudevalleystation;498.6;91.1;97.8;564;0;7;superstar;133;RETENUE;
Pays-Bas;nl_ovapi;zwolle@52.51,6.09;zwolle;497.7;96.3;99.7;324;0;7;superstar;133;RETENUE;
Pays-Bas;nl_ovapi;amersfoortcentraal@52.15,5.37;amersfoortcentraal;497.1;94.8;99.5;397;0;7;superstar;133;RETENUE;
Allemagne;de_gtfsde;karlsruhedurlach@49.00,8.46;karlsruhedurlach;488.9;86.1;97.5;547;0;7;superstar;131;RETENUE;
France;fr_sncf;UIC87391003;Paris Montparnasse Hall 1 - 2;472.3;92.3;99.9;33;1.29;7;superstar;126;RETENUE;
Finlande;fi_digitraffic;TKL;;466.6;97.9;99.4;334;0;7;superstar;125;RETENUE;
Allemagne;de_gtfsde;hallesaalehbf@51.48,11.99;hallesaalehbf;463.9;85.9;97.7;71;0;7;superstar;124;RETENUE;
Pays-Bas;nl_ovapi;gouda@52.02,4.71;gouda;461.4;95.7;99.4;341;0;7;superstar;124;RETENUE;
Allemagne;de_gtfsde;kaeuropaplatzu@49.01,8.39;kaeuropaplatzu;461.1;91.6;94.4;576;0;7;superstar;123;RETENUE;
Allemagne;de_gtfsde;hamburghammerbrookcitysd@53.55,10.02;hamburghammerbrookcitysd;458.4;91.1;99.8;38;0;7;superstar;123;RETENUE;
Allemagne;de_gtfsde;hamburgeidelstedt@53.60,9.91;hamburgeidelstedt;457.4;92.2;88.6;42;0;7;superstar;122;RETENUE;
Allemagne;de_gtfsde;hamburgdiebsteich@53.57,9.93;hamburgdiebsteich;452;90.8;99.9;36;0;7;superstar;121;RETENUE;
Allemagne;de_gtfsde;subundesplatzberlin@52.48,13.33;subundesplatzberlin;450.9;95.4;99;96;0;7;superstar;121;RETENUE;
Allemagne;de_gtfsde;karlsruheyorckstrae@49.01,8.38;karlsruheyorckstrae;449.9;90.7;95;598;0;7;superstar;120;RETENUE;
Allemagne;de_gtfsde;suheidelbergerplatzberlin@52.48,13.31;suheidelbergerplatzberlin;447.9;95.4;97.9;88;0;7;superstar;120;RETENUE;
Allemagne;de_gtfsde;smessenordzobberlin@52.51,13.28;smessenordzobberlin;447.3;95.5;99.6;60;0;7;superstar;120;RETENUE;
Australie;au_translink_seq;romastreetstation@-27.47,153.02;romastreetstation;446.4;92.1;96.1;587;0;7;superstar;120;RETENUE;
Allemagne;de_gtfsde;snikolasseeberlin@52.43,13.19;snikolasseeberlin;444.1;96.8;99.9;83;0;7;superstar;119;RETENUE;
Australie;au_translink_seq;centralstation@-27.47,153.03;centralstation;444;93.2;98.4;589;0;7;superstar;119;RETENUE;
Allemagne;de_gtfsde;neusshauptbahnhof@51.20,6.68;neusshauptbahnhof;443.7;74.1;96.4;152;0;7;superstar;119;RETENUE;
Allemagne;de_gtfsde;hamburgelbbrcken@53.54,10.02;hamburgelbbrcken;443.4;91.4;99.9;39;0;7;superstar;119;RETENUE;
Allemagne;de_gtfsde;hamburgveddelballinstadt@53.52,10.01;hamburgveddelballinstadt;442.1;90.6;99.8;41;0;7;superstar;118;RETENUE;
France;fr_sncf;UIC87723197;Lyon Part Dieu;441.9;86.9;99.9;31;3.57;7;superstar;118;RETENUE;
Allemagne;de_gtfsde;hamburgwilhelmsburg@53.50,10.01;hamburgwilhelmsburg;441.6;90.2;99.6;40;0;7;superstar;118;RETENUE;
Allemagne;de_gtfsde;swestendberlin@52.52,13.28;swestendberlin;441.1;96.1;98;68;0;7;superstar;118;RETENUE;
Allemagne;de_gtfsde;ulmhauptbahnhof@48.40,9.98;ulmhauptbahnhof;437.7;73.6;95.1;94;0;7;superstar;117;RETENUE;
Allemagne;de_gtfsde;mainzhauptbahnhof@50.00,8.26;mainzhauptbahnhof;435.3;71.1;97.1;85;0;7;superstar;117;RETENUE;
Pays-Bas;nl_ovapi;dordrecht@51.81,4.67;dordrecht;432.7;96.7;95.4;298;0;7;superstar;116;RETENUE;
Allemagne;de_gtfsde;sspringpfuhlberlin@52.53,13.54;sspringpfuhlberlin;432.6;96.7;99.1;76;0;7;superstar;116;RETENUE;
Allemagne;de_gtfsde;hamburglangenfelde@53.58,9.93;hamburglangenfelde;432;91.6;97.7;37;0;7;superstar;116;RETENUE;
France;fr_sncf;UIC87686006;Paris Gare de Lyon Hall 1 - 2;429.4;88.8;99.9;48;7;7;superstar;115;RETENUE;
Norvege;no_entur;askerstasjon@59.83,10.43;askerstasjon;429;78;99.9;779;0;7;superstar;115;RETENUE;
Allemagne;de_gtfsde;flughafenber@52.36,13.51;flughafenber;426.4;95.2;97.4;86;0;7;superstar;114;RETENUE;
Allemagne;de_gtfsde;sujungfernheidebhfberlin@52.53,13.30;sujungfernheidebhfberlin;425.9;94.2;98.5;101;0;7;superstar;114;RETENUE;
Norvege;no_entur;sandvikastasjon@59.89,10.53;sandvikastasjon;424.1;77.8;100;746;0;7;superstar;114;RETENUE;
Allemagne;de_gtfsde;suinnsbruckerplatzberlin@52.48,13.34;suinnsbruckerplatzberlin;417;97.4;99.3;91;0;7;superstar;112;RETENUE;
Allemagne;de_gtfsde;spankowheinersdorfberlin@52.58,13.43;spankowheinersdorfberlin;416.4;97.7;99.4;71;0;7;superstar;112;RETENUE;
Allemagne;de_gtfsde;bremenhbf@53.08,8.81;bremenhbf;416.3;82.5;96.8;84;0;7;superstar;112;RETENUE;
Allemagne;de_gtfsde;hanauhauptbahnhof@50.12,8.93;hanauhauptbahnhof;414.7;77.5;97.2;75;0;7;superstar;111;RETENUE;
Allemagne;de_gtfsde;hamburgharburgrathaus@53.46,9.98;hamburgharburgrathaus;411.6;90;99.9;37;0;7;superstar;110;RETENUE;
Norvege;no_entur;lillestrmstasjon@59.95,11.04;lillestrmstasjon;409.9;77.4;99.8;719;0;7;superstar;110;RETENUE;
Australie;au_translink_seq;bowenhillsstation@-27.45,153.04;bowenhillsstation;408.9;93.4;97.9;535;0;7;superstar;110;RETENUE;
Allemagne;de_gtfsde;hamburgstellingenarenen@53.59,9.92;hamburgstellingenarenen;406.1;91.1;96.5;36;0;7;superstar;109;RETENUE;
Allemagne;de_gtfsde;katullastraealterschlachthof@49.01,8.43;katullastraealterschlachthof;405.6;87;94.1;651;0;7;superstar;109;RETENUE;
Allemagne;de_gtfsde;karlsruhegottesauerplatzbgv@49.01,8.42;karlsruhegottesauerplatzbgv;403.6;86.6;95.5;653;0;7;superstar;108;RETENUE;
Etats-Unis;us_mta_lirr;pennstation@40.75,-73.99;pennstation;403.6;94.5;99.9;663;0;7;superstar;108;RETENUE;
Allemagne;de_gtfsde;sspandaubhfberlin@52.53,13.20;sspandaubhfberlin;403.4;91.8;96.7;90;0;7;superstar;108;RETENUE;
Allemagne;de_gtfsde;karlsruhekronenplatzu@49.01,8.41;karlsruhekronenplatzu;402.4;86.4;92.7;659;0;7;superstar;108;RETENUE;
Allemagne;de_gtfsde;braunschweighauptbahnhof@52.25,10.54;braunschweighauptbahnhof;401.3;87.5;98.4;57;0;7;superstar;108;RETENUE;
Pays-Bas;nl_ovapi;breda@51.60,4.78;breda;401.1;94.7;99.1;321;0;7;superstar;107;RETENUE;
Pays-Bas;nl_ovapi;shertogenbosch@51.69,5.29;shertogenbosch;400;94.5;98.3;353;0;7;superstar;107;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhchstbahnhof@50.10,8.54;frankfurtmainhchstbahnhof;398.9;76.5;97.5;55;0;7;superstar;107;RETENUE;
Allemagne;de_gtfsde;mnsterhauptbahnhof@51.96,7.63;mnsterhauptbahnhof;398.9;66.7;95.4;213;0;7;superstar;107;RETENUE;
Allemagne;de_gtfsde;oberhausenhbf@51.47,6.85;oberhausenhbf;396.4;70.6;97.6;138;0;7;superstar;106;RETENUE;
Allemagne;de_gtfsde;kadurlachertorkitcampussdu@49.01,8.42;kadurlachertorkitcampussdu;396.4;86.4;93.8;651;0;7;superstar;106;RETENUE;
Allemagne;de_gtfsde;hamburgneugraben@53.47,9.85;hamburgneugraben;396;89.2;98.3;41;0;7;superstar;106;RETENUE;
Pays-Bas;nl_ovapi;amsterdamzuid@52.34,4.87;amsterdamzuid;392.4;93.6;98.2;425;0;7;superstar;105;RETENUE;
Allemagne;de_gtfsde;dbilks@51.21,6.78;dbilks;392.3;72.7;96.7;150;0;7;superstar;105;RETENUE;
Allemagne;de_gtfsde;frankfurtmainwestbahnhof@50.12,8.64;frankfurtmainwestbahnhof;391.1;84.6;98.8;49;0;7;superstar;105;RETENUE;
Allemagne;de_gtfsde;hamburgsheimfeld@53.47,9.96;hamburgsheimfeld;389.9;90.8;99.7;37;0;7;superstar;104;RETENUE;
Allemagne;de_gtfsde;badcannstatt@48.80,9.22;badcannstatt;385.3;87.6;93;50;0;7;superstar;103;RETENUE;
Allemagne;de_gtfsde;augsburghbf@48.37,10.89;augsburghbf;380.1;86.8;96.4;89;0;7;superstar;102;RETENUE;
Allemagne;de_gtfsde;heidelberghauptbahnhof@49.40,8.68;heidelberghauptbahnhof;375.6;86.9;96.8;73;0;7;superstar;101;RETENUE;
Etats-Unis;us_mta_mnr;harlem125st@40.81,-73.94;harlem125st;374.3;94.3;99.8;42;0;7;superstar;100;RETENUE;
Pays-Bas;nl_ovapi;haarlem@52.39,4.64;haarlem;367.4;95.8;99.8;307;0;7;superstar;98;RETENUE;
Pays-Bas;nl_ovapi;tilburg@51.56,5.08;tilburg;367.1;95.1;98.8;330;0;7;superstar;98;RETENUE;
Pays-Bas;nl_ovapi;eindhovencentraal@51.44,5.48;eindhovencentraal;361;93.9;99.3;334;0;7;superstar;97;RETENUE;
Allemagne;de_gtfsde;dresdenbahnhofneustadt@51.07,13.74;dresdenbahnhofneustadt;359.9;87.3;97.9;56;0;7;superstar;96;RETENUE;
Allemagne;de_gtfsde;hamburghamburghbf@53.55,10.01;hamburghamburghbf;359.1;79.1;93.8;78;0;7;superstar;96;RETENUE;
France;fr_sncf;UIC87581009;Bordeaux Saint-Jean;356.1;88.3;99.8;26;5.57;7;superstar;95;RETENUE;
Allemagne;de_gtfsde;dflughafenbf@51.29,6.79;dflughafenbf;355.4;57.4;96.3;178;0;7;superstar;95;RETENUE;
Allemagne;de_gtfsde;hagenhbf@51.36,7.46;hagenhbf;354.6;74.5;96.8;162;0;7;superstar;95;RETENUE;
Allemagne;de_gtfsde;suwesthafenberlin@52.54,13.34;suwesthafenberlin;354.4;96.3;99.6;59;0;7;superstar;95;RETENUE;
Allemagne;de_gtfsde;wuppertalhbf@51.26,7.15;wuppertalhbf;354.1;71.6;94.3;132;0;7;superstar;95;RETENUE;
France;fr_sncf;UIC87286005;Lille Flandres;353.4;92.1;99.8;20;5;7;superstar;95;RETENUE;
Pays-Bas;nl_ovapi;hilversum@52.23,5.18;hilversum;349;92.2;98.9;419;0;7;superstar;94;RETENUE;
Pays-Bas;nl_ovapi;denhaaghs@52.07,4.32;denhaaghs;348.9;96.2;99.8;287;0;7;superstar;94;RETENUE;
Pays-Bas;nl_ovapi;delft@52.01,4.36;delft;348.9;95.7;99.3;325;0;7;superstar;94;RETENUE;
Pays-Bas;nl_ovapi;groningen@53.21,6.56;groningen;347;96.7;97.2;240;0;7;superstar;93;RETENUE;
Allemagne;de_gtfsde;hamburgelbgaustrae@53.60,9.89;hamburgelbgaustrae;343.1;91.6;99.7;35;0;7;superstar;92;RETENUE;
Allemagne;de_gtfsde;shohenzollerndammberlin@52.49,13.30;shohenzollerndammberlin;342.6;97;98.7;48;0;7;superstar;92;RETENUE;
Allemagne;de_gtfsde;mlheimhauptbahnhof@51.43,6.89;mlheimhauptbahnhof;341.1;63.1;95.8;150;0;7;superstar;91;RETENUE;
Allemagne;de_gtfsde;kaettlingertorstaatstheateru@49.01,8.40;kaettlingertorstaatstheateru;337.9;89.8;98.3;518;0;7;superstar;91;RETENUE;
Pays-Bas;nl_ovapi;nijmegen@51.84,5.85;nijmegen;336.4;96.9;98.7;258;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;karlsruheaugartenstrae@49.00,8.40;karlsruheaugartenstrae;336;89.5;97.4;520;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;leipzighbf@51.35,12.38;leipzighbf;335;82.8;95.7;73;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;splnterwaldberlin@52.48,13.47;splnterwaldberlin;334.9;97.6;99.3;71;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;karlsruhealbtalbahnhof@48.99,8.40;karlsruhealbtalbahnhof;334.4;89.8;98;484;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;karlsruhekongresszentrumu@49.00,8.40;karlsruhekongresszentrumu;334.3;90.3;97;521;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;spotsdamhauptbahnhof@52.39,13.07;spotsdamhauptbahnhof;334.3;96.5;93.2;56;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;shumboldthainberlin@52.54,13.38;shumboldthainberlin;333.9;97;99.3;58;0;7;superstar;90;RETENUE;
Allemagne;de_gtfsde;wrzburghbf@49.80,9.94;wrzburghbf;332.7;85.9;98;82;0;7;superstar;89;RETENUE;
Allemagne;de_gtfsde;karlsruhepoststrae@49.00,8.40;karlsruhepoststrae;331.9;90.7;97.4;493;0;7;superstar;89;RETENUE;
France;fr_sncf;UIC87751008;Marseille Saint-Charles;328.9;88.4;99.9;27;6.57;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;durlachuntermhlstrae@49.00,8.46;durlachuntermhlstrae;328.4;87.7;95.1;583;0;7;superstar;88;RETENUE;
Pays-Bas;nl_ovapi;duivendrecht@52.32,4.94;duivendrecht;327.9;92.2;99.2;412;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;karlsruheweinweg@49.00,8.44;karlsruheweinweg;327.9;88.1;92.6;572;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;frankfurtmainmhlberg@50.10,8.70;frankfurtmainmhlberg;327.6;72.2;95.3;45;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;kamarktplatzpyramideu@49.01,8.40;kamarktplatzpyramideu;327.4;88.8;98.8;518;0;7;superstar;88;RETENUE;
Pays-Bas;nl_ovapi;hoofddorp@52.29,4.70;hoofddorp;326.9;93.4;98.9;351;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;klnhansaring@50.95,6.95;klnhansaring;326.7;76.1;92.1;50;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;friedberghessenbahnhof@50.33,8.76;friedberghessenbahnhof;326.4;83.9;97;63;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;rostockhauptbahnhof@54.08,12.13;rostockhauptbahnhof;326.3;94.3;98.8;40;0;7;superstar;88;RETENUE;
Allemagne;de_gtfsde;shalenseeberlin@52.50,13.29;shalenseeberlin;326;96.5;92.8;74;0;7;superstar;87;RETENUE;
Allemagne;de_gtfsde;offenbachmainoffenbachostostbahnhof@50.10,8.78;offenbachmainoffenbachostostbahnhof;325.7;78.3;96.9;43;0;7;superstar;87;RETENUE;
France;fr_sncf;UIC87271007;Paris Gare du Nord;324.6;92.9;99.9;31;6.71;7;superstar;87;RETENUE;
Allemagne;de_gtfsde;kahauptbahnhofvorplatz@48.99,8.40;kahauptbahnhofvorplatz;324;89.7;95.3;488;0;7;superstar;87;RETENUE;
