pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Pays-Bas;nl_ovapi;Heemstede-Aerdenhout;nl_ovapi|heemstedeaerdenhout@52.36,4.61;115.7;78.8;68;74;94.7;96.6;22.6;0.57;0.52;10;127;6;0;0;REJETEE;volume irregulier (CV 0.57)
Pays-Bas;nl_ovapi;Alkmaar;nl_ovapi|alkmaar@52.64,4.74;107.3;78.8;73;75.9;96.4;98.5;22.6;0.36;0.33;7;157;6;0.17;0;REJETEE;volume irregulier (CV 0.36)
Allemagne;de_gtfsde;;de_gtfsde|452815;158.3;78;49;46.5;83.3;92;45.5;1.02;0.95;21;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.02)
Etats-Unis;us_mta_mnr;;us_mta_mnr|124;217.3;77.7;36;46.4;83.5;94;47.6;0.08;0.03;23;94;6;0;0;REJETEE;identite non resolue
Pays-Bas;nl_ovapi;Groningen;nl_ovapi|groningen@53.21,6.56;129.8;77.2;59;83.8;95.7;98.5;14.7;0.63;0.62;10;245;6;0.67;0;REJETEE;volume irregulier (CV 0.63)
Allemagne;de_gtfsde;;de_gtfsde|646114;127.3;75.8;60;30.4;61.7;75.2;44.9;1.23;1.17;15;21;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.23)
Allemagne;de_gtfsde;;de_gtfsde|601935;110.3;74.3;67;32;63;78.8;46.8;1.03;0.96;21;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.03)
Allemagne;de_gtfsde;;de_gtfsde|452638;131.8;74;56;35.8;71.3;81.1;45.3;1.28;1.26;30;9;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.28)
Allemagne;de_gtfsde;;de_gtfsde|155845;156.3;73.8;47;44.4;80.7;92.2;47.8;0.99;0.91;22;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.99)
Pays-Bas;nl_ovapi;Almere Centrum;nl_ovapi|almerecentrum@52.38,5.22;201.2;72;36;72.7;94.9;98.6;25.9;0.6;0.59;13;181;6;2.5;0;REJETEE;volume irregulier (CV 0.60)
Pays-Bas;nl_ovapi;Dieren;nl_ovapi|dieren@52.04,6.10;92.7;72;78;42.4;92.6;98.4;56;0.48;0.44;8;119;6;0.17;0;REJETEE;volume irregulier (CV 0.48)
Allemagne;de_gtfsde;;de_gtfsde|223865;92.5;72;78;75.7;93.4;100;24.3;1;0.92;20;12;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.00)
Etats-Unis;us_mta_lirr;;us_mta_lirr|237;99.8;71.4;72;25.8;88.5;97.5;71.7;1.02;0.98;23;184;5;0.6;0;REJETEE;identite non resolue , presente 5/6 jours , volume irregulier (CV 1.02)
Pays-Bas;nl_ovapi;Woerden;nl_ovapi|woerden@52.09,4.89;92.5;71.3;77;77.6;96.3;98.4;20.8;0.68;0.6;13;120;6;0.5;0;REJETEE;volume irregulier (CV 0.68)
Allemagne;de_gtfsde;;de_gtfsde|562206;96.3;70.3;73;35.2;60.9;77.2;42;1.17;1.11;41;9;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.17)
Allemagne;de_gtfsde;;de_gtfsde|497869;141.3;69;49;51.1;73.2;87;35.9;1.25;1.17;31;16;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.25)
Pays-Bas;nl_ovapi;Roermond;nl_ovapi|roermond@51.19,5.99;86.7;68.7;79;62.9;95.4;98.5;35.7;0.41;0.35;6;95;6;0.67;0;REJETEE;volume irregulier (CV 0.41)
Allemagne;de_gtfsde;;de_gtfsde|64656;95.5;67.8;71;36.9;71.2;82.3;45.4;1.14;1.04;36;17;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.14)
Etats-Unis;us_mta_mnr;;us_mta_mnr|56;171.2;67.7;40;43.8;86.9;97;53.2;0.1;0.09;20;83;6;0;0;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|587960;107.5;67.5;63;38.5;68.9;85.6;47;1.21;1.16;33;13;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.21)
Allemagne;de_gtfsde;;de_gtfsde|92917;131.3;65;50;55.4;76.2;87.3;31.9;1.19;1.11;41;25;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.19)
Etats-Unis;us_mbta;South Station;us_mbta|southstation@42.35,-71.06;125.3;64.7;52;100;100;100;0;0.4;0.42;0;39;6;0;0;REJETEE;trop parfaite (100 % sous 60 s) , volume irregulier (CV 0.40)
