nom;prenom;pays;statut;N;K;ponctualite;fraicheur;distincts;annulesJour;gareComplete;reseau;cle
Haga;;Norvege;petit joueur;17.3;14;71.1;91;86;0;Haga stasjon;;hagastasjon@60.05,11.37
Kutenholz;;Allemagne;petit joueur;24.9;20;95.4;90.6;12;0;Kutenholz;;kutenholz@53.47,9.31
Saint-Médard-d'Eyrans;;France;petit joueur;24.7;20;89.6;98.9;8;0.29;Saint-Médard-d'Eyrans;;UIC87582692
Rheine;;Pays-Bas;petit joueur;22.3;18;76.3;99.4;43;0;Rheine;;rheine@52.28,7.44
Merritt;;Etats-Unis;petit joueur;22.3;18;84;96.9;17;0;Merritt 7;;merritt7@41.15,-73.43
Dunboyne;;Irlande;petit joueur;17.9;15;87.2;90.6;15;0;Dunboyne;;dunboyne@53.42,-6.46
Geilo;;Norvege;petit joueur;15.4;13;81.5;100;67;0;Geilo stasjon;;geilostasjon@60.53,8.21
Meppen;;Allemagne;petit joueur;24.9;20;66.7;92.6;37;0;Meppen, Bahnhof;;meppenbahnhof@52.70,7.30
Bègles;;France;petit joueur;24.7;20;90.2;99.4;8;0.29;Bègles;;UIC87581801
Emmerich;;Pays-Bas;petit joueur;19.3;16;82.2;98.5;77;0;Emmerich;;emmerich@51.83,6.25
Wassaic;;Etats-Unis;petit joueur;18.7;15;95.4;100;10;0;Wassaic;;wassaic@41.81,-73.56
Monasterevin;;Irlande;petit joueur;16.7;14;87.2;90.7;17;0;Monasterevin;;monasterevin@53.15,-7.06
Garbeck;Balve;Allemagne;petit joueur;24.9;20;97.1;97.2;11;0;Balve, Garbeck;;balvegarbeck@51.32,7.84
Buisson;Le;France;petit joueur;24.7;20;79.2;98.3;15;0.57;Le Buisson;;UIC87595751
Emmerich-Elten;;Pays-Bas;petit joueur;18.9;16;80.3;100;90;0;Emmerich-Elten;;emmerichelten@51.87,6.15
Montauk;;Etats-Unis;petit joueur;17.4;14;73.8;100;82;0.14;Montauk;;montauk@41.05,-71.95
Athenry;;Irlande;petit joueur;16.7;14;71.8;94.4;31;0;Athenry;;athenry@53.30,-8.75
Steinwenden;;Allemagne;petit joueur;24.7;20;83.2;92.5;16;0;Steinwenden, Bahnhof;;steinwendenbahnhof@49.45,7.52
Château-du-Loir;;France;petit joueur;24.7;20;72.3;100;12;3.43;Château-du-Loir;;UIC87396606
Wesel;;Pays-Bas;petit joueur;17.6;15;85.4;100;29;0;Wesel;;wesel@51.66,6.63
Bridgehampton;;Etats-Unis;petit joueur;17.1;14;75;100;96;0;Bridgehampton;;bridgehampton@40.94,-72.31
Hansfield;;Irlande;petit joueur;16.3;14;89.5;89.8;13;0;Hansfield;;hansfield@53.39,-6.44
Wünschendorf;;Allemagne;petit joueur;24.7;20;91.3;93;16;0;Wünschendorf;;wnschendorf@50.80,12.10
Méru;;France;petit joueur;24.6;20;90.7;100;10;0.57;Méru;;UIC87313668
Oberhausen-Sterkrade;;Pays-Bas;petit joueur;17;14;84.9;100;24;0;Oberhausen-Sterkrade;;oberhausensterkrade@51.51,6.84
East Hampton;;Etats-Unis;petit joueur;17;14;77.3;100;84;0.29;East Hampton;;easthampton@40.97,-72.19
Galway Ceannt;;Irlande;petit joueur;16.1;13;64.6;94.2;33;0;Galway (Ceannt);;galwayceannt@53.27,-9.05
Mömbris-Mensengesäß;;Allemagne;petit joueur;24.7;20;96;95.1;11;0;Mömbris-Mensengesäß;;mmbrismensenges@50.07,9.17
Collioure;;France;petit joueur;24.6;20;89.5;100;11;0.43;Collioure;;UIC87784256
Zwolle Stadshagen;;Pays-Bas;petit joueur;15.3;13;94.4;100;36;0;Zwolle Stadshagen;;zwollestadshagen@52.53,6.05
Amagansett;;Etats-Unis;petit joueur;16.7;14;76.1;100;97;0;Amagansett;;amagansett@40.98,-72.13
Thurles;;Irlande;petit joueur;16;13;46.4;88.2;22;0;Thurles;;thurles@52.68,-7.82
Kürbitz;;Allemagne;petit joueur;24.7;20;74.6;81.6;20;0;Kürbitz, Bahnhof;;krbitzbahnhof@50.46,12.07
Bornel Belle-Église;;France;petit joueur;24.6;20;91.3;100;8;0.57;Bornel - Belle-Église;;UIC87276717
Kaldenkirchen;;Pays-Bas;petit joueur;15.1;13;73.6;100;75;0;Kaldenkirchen;;kaldenkirchen@51.33,6.20
Southampton;;Etats-Unis;petit joueur;16.6;14;78.4;100;93;0;Southampton;;southampton@40.89,-72.39
Heinsberg Horst Borgansstraße;;Allemagne;petit joueur;24.7;20;79.8;97.2;17;0;Heinsberg, Horst Borgansstraße;;heinsberghorstborgansstrae@51.03,6.18
Chambly;;France;petit joueur;24.6;20;91.3;100;9;0.57;Chambly;;UIC87276725
Breyell;;Pays-Bas;petit joueur;15;12;74.3;100;80;0;Breyell;;breyell@51.30,6.24
Hampton Bays;;Etats-Unis;petit joueur;15.9;13;81.1;100;84;0.14;Hampton Bays;;hamptonbays@40.88,-72.52
Westheim-Langendorf;;Allemagne;petit joueur;24.7;20;95.4;95.1;13;0;Westheim-Langendorf;;westheimlangendorf@50.13,9.93
Saint-Sulpice Auteuil;;France;petit joueur;24.4;20;91.8;100;9;0.57;Saint-Sulpice - Auteuil;;UIC87313684
Düsseldorf;Flughafen;Pays-Bas;petit joueur;15;12;86.7;100;17;0;Düsseldorf Flughafen;;dsseldorfflughafen@51.29,6.79
Westhampton;;Etats-Unis;petit joueur;15.9;13;77.5;100;87;0;Westhampton;;westhampton@40.83,-72.65
Wolterdingen Soltau;;Allemagne;petit joueur;24.7;20;60.1;93.5;32;0;Wolterdingen(Soltau);;wolterdingensoltau@53.03,9.85
Cerbère;;France;petit joueur;24.4;20;90.1;99.4;11;0.43;Cerbère;;UIC87785006
Tiefenau;;Allemagne;petit joueur;24.7;20;90.2;98.3;16;0;Tiefenau Bahnhof;;tiefenaubahnhof@51.39,13.41
Banyuls-sur-Mer;;France;petit joueur;24.4;20;90.1;100;10;0.43;Banyuls-sur-Mer;;UIC87784298
Kälberau;;Allemagne;petit joueur;24.7;20;95.4;86.5;11;0;Kälberau;;klberau@50.09,9.09
Bourg-en-Bresse Routière;;France;petit joueur;24.4;20;97.7;100;6;0;Bourg-en-Bresse Gare Routière;;UIC87696013
Rövershagen Karls Erlebnisdorf;;Allemagne;petit joueur;24.7;20;97.7;91.1;9;0;Rövershagen Karls Erlebnisdorf;;rvershagenkarlserlebnisdorf@54.16,12.24
Argelès-sur-Mer;;France;petit joueur;24.4;20;89.5;100;11;0.43;Argelès-sur-Mer;;UIC87784231
Sinntal-Jossa;;Allemagne;petit joueur;24.7;20;93.6;96.1;13;0;Sinntal-Jossa Bahnhof;;sinntaljossabahnhof@50.23,9.60
Ambazac;;France;petit joueur;24.4;20;94.7;100;7;0.57;Ambazac;;UIC87592311
Brest Brest-Aspe;;Allemagne;petit joueur;24.7;20;96;88.7;9;0;Brest, Brest-Aspe;;brestbrestaspe@53.46,9.38
Saint-Sulpice-Laurière;;France;petit joueur;24.4;20;95.3;100;6;0.57;Saint-Sulpice-Laurière;;UIC87592345
Witzwort;;Allemagne;petit joueur;24.7;20;97.1;93.5;10;0;Witzwort;;witzwort@54.39,9.00
Saint-Étienne-de-Montluc;;France;petit joueur;24.4;20;92.4;100;9;1.86;Saint-Étienne-de-Montluc;;UIC87481812
Harblek;;Allemagne;petit joueur;24.7;20;97.1;81.6;9;0;Harblek;;harblek@54.36,8.96
Port-Vendres;;France;petit joueur;24.3;20;90;100;10;0.43;Port-Vendres;;UIC87784264
Würzbach;Saar;Allemagne;petit joueur;24.7;20;45.7;96.6;20;0;Würzbach (Saar);;wrzbachsaar@49.24,7.19
Sables-d'Olonne;Les;France;petit joueur;24.3;20;87.1;99.4;11;0;Les Sables-d'Olonne;;UIC87486449
Einöd;Saar;Allemagne;petit joueur;24.7;20;43.4;92.5;21;0;Einöd (Saar);;eindsaar@49.27,7.32
Saint-Julien-du-Sault;;France;petit joueur;24.1;20;92.3;100;5;0;Saint-Julien-du-Sault;;UIC87683227
Lutten;;Allemagne;petit joueur;24.7;20;65.9;86.9;27;0;Lutten;;lutten@52.77,8.34
Lannemezan;;France;petit joueur;24.1;20;87;100;12;0.14;Lannemezan;;UIC87671123
BASF;Süd;Allemagne;petit joueur;24.6;20;95.9;92;11;0;BASF, Bahnhof Süd;;basfbahnhofsd@49.49,8.44
Sénas;;France;petit joueur;24.1;20;95.3;100;5;0.29;Sénas;;UIC87753715
Heinsberg-Randerath;;Allemagne;petit joueur;24.6;20;80.2;94.5;16;0;Heinsberg-Randerath;;heinsbergranderath@51.02,6.18
Mehun-sur-Yèvre;;France;petit joueur;24.1;20;94.1;100;8;1;Mehun-sur-Yèvre;;UIC87576116
Schwalmstadt-Wiera;;Allemagne;petit joueur;24.6;20;73.3;90.5;33;0;Schwalmstadt-Wiera Bahnhof;;schwalmstadtwierabahnhof@50.88,9.14
Nexon;;France;petit joueur;24;20;88.7;100;10;1.14;Nexon;;UIC87592725
Kreimbach;;Allemagne;petit joueur;24.6;20;82.6;94.5;17;0;Kreimbach, Bahnhof;;kreimbachbahnhof@49.55,7.63
Saint-Saturnin-lès-Avignon;;France;petit joueur;24;20;95.8;100;6;0.29;Saint-Saturnin-lès-Avignon;;UIC87765438
Eppertshausen;;Allemagne;petit joueur;24.6;20;93;87.8;13;0;Eppertshausen Bahnhof;;eppertshausenbahnhof@49.95,8.84
Saint-Cyr-en-Val;;France;petit joueur;24;20;94;100;8;0.57;Saint-Cyr-en-Val;;UIC87543116
