pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Australie;au_translink_seq;Geebung station;au_translink_seq|geebungstation@-27.37,153.05;67.3;34.3;51;41.7;92.7;98.1;56.3;0.24;0.24;9;79;6;0;0.33;RETENUE;
Australie;au_translink_seq;Mango Hill station;au_translink_seq|mangohillstation@-27.25,153.03;63.2;34.3;54;73.8;95.6;98.5;24.8;0.28;0.28;8;84;6;0;0.33;RETENUE;
Australie;au_translink_seq;Sunshine station;au_translink_seq|sunshinestation@-27.38,153.06;66.7;34.2;51;36.6;92.7;98;61.5;0.23;0.23;11;81;6;0;0.33;RETENUE;
Australie;au_translink_seq;Dinmore station;au_translink_seq|dinmorestation@-27.60,152.83;61.5;34.2;56;76.6;97.1;99.5;22.9;0.23;0.25;16;89;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Strathpine station;au_translink_seq|strathpinestation@-27.31,152.99;68;34;50;38.7;92.6;97.5;58.8;0.25;0.25;20;79;6;0;0.33;RETENUE;
Australie;au_translink_seq;Zillmere station;au_translink_seq|zillmerestation@-27.36,153.04;67.7;33.8;50;38.4;92.1;98;59.6;0.24;0.25;11;77;6;0;0.33;RETENUE;
Australie;au_translink_seq;Riverview station;au_translink_seq|riverviewstation@-27.60,152.85;61.3;33.8;55;61.1;94.1;99;37.9;0.23;0.25;17;90;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Lawnton station;au_translink_seq|lawntonstation@-27.28,152.98;67.8;33.7;50;32.2;94.6;98;65.8;0.25;0.26;8;80;6;0;0.33;RETENUE;
Australie;au_translink_seq;Bundamba station;au_translink_seq|bundambastation@-27.61,152.80;61;33.3;55;77.5;97;99.5;22;0.23;0.24;16;89;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Wacol station;au_translink_seq|wacolstation@-27.59,152.92;60.2;33.2;55;56.3;95.5;99;42.7;0.22;0.23;17;92;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Domestic Airport station;au_translink_seq|domesticairportstation@-27.38,153.12;78.5;32.8;42;47.7;93.4;99.5;51.8;0.21;0.33;13;49;6;0;1.17;RETENUE;
Australie;au_translink_seq;Rothwell station;au_translink_seq|rothwellstation@-27.22,153.05;63.7;32.8;52;79.2;97;99.5;20.3;0.28;0.28;14;81;6;0;0;RETENUE;
Australie;au_translink_seq;Virginia station;au_translink_seq|virginiastation@-27.38,153.06;66.3;32.7;49;46.4;92.9;98;51.5;0.23;0.24;10;80;6;0;0.33;RETENUE;
Australie;au_translink_seq;East Ipswich station;au_translink_seq|eastipswichstation@-27.61,152.77;61.2;32.3;53;35.6;96.4;99.5;63.9;0.22;0.24;15;90;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Gailes station;au_translink_seq|gailesstation@-27.60,152.92;59.8;32.3;54;73.2;93.8;99;25.8;0.23;0.23;18;93;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Ebbw Vale station;au_translink_seq|ebbwvalestation@-27.60,152.82;61.3;32.2;52;76.2;97.4;99.5;23.3;0.23;0.25;14;89;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Redbank station;au_translink_seq|redbankstation@-27.60,152.87;61.2;32.2;53;67.4;94.3;99;31.6;0.24;0.26;17;89;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;International Airport station;au_translink_seq|internationalairportstation@-27.40,153.11;59.7;31.7;53;38.4;90.5;100;61.6;0.18;0.27;13;58;6;0;1;RETENUE;
Australie;au_translink_seq;Mango Hill East station;au_translink_seq|mangohilleaststation@-27.23,153.04;63.3;31.5;50;65.6;95.8;98.4;32.8;0.27;0.27;13;83;6;0;0.33;RETENUE;
Australie;au_translink_seq;Murrumba Downs station;au_translink_seq|murrumbadownsstation@-27.25,153.01;62.8;31;49;65.6;95.2;98.4;32.8;0.28;0.27;12;80;6;0;0.33;RETENUE;
Australie;au_translink_seq;Kippa-Ring station;au_translink_seq|kipparingstation@-27.23,153.08;76.7;29.5;38;74;95.5;98.9;24.9;0.22;0.23;7;86;6;0;0;RETENUE;
Australie;au_translink_seq;Yeerongpilly station;au_translink_seq|yeerongpillystation@-27.53,153.01;52.7;28.2;53;31.4;90.5;96.4;65.1;0.24;0.24;22;97;6;0;1;RETENUE;
Australie;au_translink_seq;Keperra station;au_translink_seq|keperrastation@-27.41,152.96;58.5;27.7;47;65.7;96.4;100;34.3;0.21;0.22;9;87;6;0;0;RETENUE;
Australie;au_translink_seq;Yeronga station;au_translink_seq|yerongastation@-27.52,153.02;54.5;27.5;50;34.5;89.1;94.5;60;0.23;0.24;27;89;6;0;0.83;RETENUE;
Australie;au_translink_seq;Kingston station;au_translink_seq|kingstonstation@-27.66,153.12;52.8;27.3;52;72;92.7;98.8;26.8;0.23;0.22;15;100;6;0;1;RETENUE;
Australie;au_translink_seq;Fairfield station;au_translink_seq|fairfieldstation@-27.51,153.03;54.3;27.2;50;28.8;87.7;95.1;66.3;0.23;0.24;31;88;6;0;0.83;RETENUE;
Australie;au_translink_seq;Kallangur station;au_translink_seq|kallangurstation@-27.26,153.00;63.3;27;43;69.8;95.1;98.8;29;0.28;0.27;11;81;6;0;0.33;RETENUE;
Australie;au_translink_seq;Newmarket station;au_translink_seq|newmarketstation@-27.43,153.01;60.2;27;45;72.2;96.3;100;27.8;0.2;0.22;11;80;6;0;0.17;RETENUE;
